GUY	Guyana Goldfields Inc.	$6.64	$10.35	$4.29	171,148,473	$1,136,425,860
FVI	Fortuna Silver Mines Inc.	$7.07	$12.73	$4.66	158,851,923	$1,123,083,095
BTE	Baytex Energy Corp.	$4.81	$9.04	$4.38	233,448,990	$1,122,889,641
PWT	Penn West Petroleum Ltd.	$2.23	$2.72	$0.78	502,765,488	$1,121,167,038
AIF	Altus Group Limited	$29.44	$33.50	$19.32	37,474,533	$1,103,250,251
NXE	NexGen Energy Ltd.	$3.57	$4.45	$1.27	306,398,620	$1,093,843,073
MTY	MTY Food Group Inc.	$50.92	$53.20	$30.97	21,374,497	$1,088,389,387
AOI	Africa Oil Corp.	$2.38	$2.81	$1.71	456,617,074	$1,086,748,636
NVU.UN	Northview Apartment Real Estate Invest...	$21.42	$22.88	$18.01	49,944,749	$1,069,816,523
MAL	Magellan Aerospace Corporation	$18.26	$19.97	$14.42	58,209,001	$1,062,896,358
LUC	Lucara Diamond Corp.	$2.78	$4.39	$2.49	382,246,001	$1,062,643,882
MNW	Mitel Networks Corporation	$8.70	$11.10	$7.56	121,970,528	$1,061,143,593
KEL	Kelt Exploration Ltd.	$5.99	$7.49	$3.42	175,705,950	$1,052,478,640
EIT.UN	Canoe EIT Income Fund	$12.00	$12.19	$10.19	87,673,896	$1,052,086,752
CGG	China Gold International Resources Cor...	$2.63	$3.67	$1.84	396,413,753	$1,042,568,170
TD.PF.H	Toronto-Dominion Bank (The) 5-Year Rat...	$26.01	$26.11	$25.24	40,000,000	$1,040,400,000
TRP.PR.K	TransCanada Corporation cumulative red...	$25.74	$25.92	$24.74	40,000,000	$1,029,600,000
MSI	Morneau Shepell Inc.	$19.27	$20.52	$16.21	53,230,064	$1,025,743,333
NSU	Nevsun Resources Ltd.	$3.36	$4.81	$3.01	301,869,593	$1,014,281,832
DII.B	Dorel Industries Inc. Class B Subordin...	$35.76	$40.85	$26.20	28,210,545	$1,008,809,089
